product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B002HFWNAQ,0,0,5,5,100.0,0.0
B000CQC05K,0,1,4,5,80.0,0.0
B002HFWMOI,0,0,5,5,100.0,0.0
B007OXJJQ2,0,0,5,5,100.0,0.0
B007RLRCLK,0,1,4,5,80.0,0.0
B004FEN3GK,0,0,5,5,100.0,0.0
B004GW6O9E,0,0,5,5,100.0,0.0
B0029XDZKI,0,0,5,5,100.0,0.0
B007TJGZ4A,0,1,4,5,80.0,0.0
B002TMV3CG,0,1,4,5,80.0,0.0
B00438XVGU,0,0,5,5,100.0,0.0
B0002DGRRA,0,1,4,5,80.0,0.0
B002T0KDNI,1,0,4,5,80.0,20.0
B000CQID6U,0,0,5,5,100.0,0.0
B000CQY378,0,0,5,5,100.0,0.0
B0081XPTBS,0,1,4,5,80.0,0.0
B0081XIAUK,0,1,4,5,80.0,0.0
B007TJGY4Q,0,2,3,5,60.0,0.0
B002VLZ8D0,0,0,5,5,100.0,0.0
B007RTR9G0,0,0,5,5,100.0,0.0
B000CQG8KS,0,2,3,5,60.0,0.0
B00395DVQS,0,1,4,5,80.0,0.0
B0032CJPOK,0,0,5,5,100.0,0.0
B002ZX1U9A,0,0,5,5,100.0,0.0
B003QKBDX4,0,0,5,5,100.0,0.0
B003A23HZK,1,0,4,5,80.0,20.0
B000EVIDWW,0,1,4,5,80.0,0.0
B0098WV8F2,0,3,2,5,40.0,0.0
7310172101,0,1,4,5,80.0,0.0
B008YA1LQK,0,1,3,4,75.0,0.0
B008FHUFAU,0,2,2,4,50.0,0.0
B000EMU2BG,0,0,4,4,100.0,0.0
B0096EZHM2,0,0,4,4,100.0,0.0
B000FBO9LK,0,1,3,4,75.0,0.0
B000FFLHU2,0,1,3,4,75.0,0.0
B003CK7O36,1,0,3,4,75.0,25.0
B003E728CE,0,0,4,4,100.0,0.0
B003FDG4K4,0,0,4,4,100.0,0.0
B003G52BN0,0,1,3,4,75.0,0.0
B003JA5KLM,0,0,4,4,100.0,0.0
B003N0ZEKU,0,0,4,4,100.0,0.0
B003OGKCDC,0,0,4,4,100.0,0.0
B000G6RYOI,0,0,4,4,100.0,0.0
B000DZFMG4,0,0,4,4,100.0,0.0
B000HJ7AIY,1,0,3,4,75.0,25.0
B000I1OLT2,0,0,4,4,100.0,0.0
B000IHNCQO,1,2,1,4,25.0,25.0
B000CRIBC0,1,0,3,4,75.0,25.0
B007TJGZ5E,0,0,4,4,100.0,0.0
B000CQIDJM,0,0,4,4,100.0,0.0
